danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song,date,this_week,last_week,peak_position,weeks_on_chart
0.674,0.498,0,-10.07,1,0.13,0.512,2.05e-06,0.404,0.747,81.075,audio_features,62eAoNfrrS84177LOzJMQx,spotify:track:62eAoNfrrS84177LOzJMQx,https://api.spotify.com/v1/tracks/62eAoNfrrS84177LOzJMQx,https://api.spotify.com/v1/audio-analysis/62eAoNfrrS84177LOzJMQx,162107,4,Perry Como,Moon Talk,1958-08-04,37,,37,1
0.674,0.498,0,-10.07,1,0.13,0.512,2.05e-06,0.404,0.747,81.075,audio_features,62eAoNfrrS84177LOzJMQx,spotify:track:62eAoNfrrS84177LOzJMQx,https://api.spotify.com/v1/tracks/62eAoNfrrS84177LOzJMQx,https://api.spotify.com/v1/audio-analysis/62eAoNfrrS84177LOzJMQx,162107,4,Perry Como,Moon Talk,1958-08-11,30,37.0,30,2
0.667,0.391,10,-8.712,1,0.0258,0.728,0.0,0.0809,0.682,101.3,audio_features,6eIEXINZt8rtgqEtOxP9ur,spotify:track:6eIEXINZt8rtgqEtOxP9ur,https://api.spotify.com/v1/tracks/6eIEXINZt8rtgqEtOxP9ur,https://api.spotify.com/v1/audio-analysis/6eIEXINZt8rtgqEtOxP9ur,146800,3,Chuck Willis,What Am I Living For,1958-08-04,25,,25,1
0.667,0.391,10,-8.712,1,0.0258,0.728,0.0,0.0809,0.682,101.3,audio_features,6eIEXINZt8rtgqEtOxP9ur,spotify:track:6eIEXINZt8rtgqEtOxP9ur,https://api.spotify.com/v1/tracks/6eIEXINZt8rtgqEtOxP9ur,https://api.spotify.com/v1/audio-analysis/6eIEXINZt8rtgqEtOxP9ur,146800,3,Chuck Willis,What Am I Living For,1958-08-11,31,25.0,25,2
0.608,0.621,8,-7.016,0,0.0468,0.125,0.213,0.226,0.339,82.511,audio_features,3M1wrmH2DCIR3syOfjPoxW,spotify:track:3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/tracks/3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/audio-analysis/3M1wrmH2DCIR3syOfjPoxW,162909,4,The Crickets,Think It Over,1958-08-04,27,,27,1
0.608,0.621,8,-7.016,0,0.0468,0.125,0.213,0.226,0.339,82.511,audio_features,3M1wrmH2DCIR3syOfjPoxW,spotify:track:3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/tracks/3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/audio-analysis/3M1wrmH2DCIR3syOfjPoxW,162909,4,The Crickets,Fool's Paradise,1958-08-04,58,,58,1
0.608,0.621,8,-7.016,0,0.0468,0.125,0.213,0.226,0.339,82.511,audio_features,3M1wrmH2DCIR3syOfjPoxW,spotify:track:3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/tracks/3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/audio-analysis/3M1wrmH2DCIR3syOfjPoxW,162909,4,The Crickets,Think It Over,1958-08-11,32,27.0,27,2
0.541,0.608,7,-13.083,1,0.106,0.298,0.0,0.234,0.938,171.992,audio_features,4FlYcJnfkeBpowEHJ72Bmt,spotify:track:4FlYcJnfkeBpowEHJ72Bmt,https://api.spotify.com/v1/tracks/4FlYcJnfkeBpowEHJ72Bmt,https://api.spotify.com/v1/audio-analysis/4FlYcJnfkeBpowEHJ72Bmt,160080,4,Bobby Day,Rock-in Robin,1958-08-04,35,,35,1
0.541,0.608,7,-13.083,1,0.106,0.298,0.0,0.234,0.938,171.992,audio_features,4FlYcJnfkeBpowEHJ72Bmt,spotify:track:4FlYcJnfkeBpowEHJ72Bmt,https://api.spotify.com/v1/tracks/4FlYcJnfkeBpowEHJ72Bmt,https://api.spotify.com/v1/audio-analysis/4FlYcJnfkeBpowEHJ72Bmt,160080,4,Bobby Day,Rock-in Robin,1958-08-11,33,35.0,33,2
0.658,0.706,11,-9.076,1,0.0354,0.686,2.18e-06,0.166,0.965,141.194,audio_features,2ZCkqAo0tzzCVOth7ityh5,spotify:track:2ZCkqAo0tzzCVOth7ityh5,https://api.spotify.com/v1/tracks/2ZCkqAo0tzzCVOth7ityh5,https://api.spotify.com/v1/audio-analysis/2ZCkqAo0tzzCVOth7ityh5,136427,4,The Everly Brothers,Bird Dog,1958-08-04,92,,92,1
